                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.76678,                0.52186,                0.85312,                0.83479,                0.74901,                0.81787,                0.58722,                0.75864,                0.55489,                 0.8552,             0.00029061,             0.00029061,             0.00029061
                     59,                0.74437,                0.52178,                0.84867,                0.87031,                0.70176,                 0.8281,                0.59074,                0.77793,                0.55458,                0.85919,             0.00028401,             0.00028401,             0.00028401
                     60,                0.71994,                 0.4997,                0.84287,                0.81003,                 0.7255,                0.82275,                0.58145,                0.76443,                 0.5645,                0.85368,             0.00027741,             0.00027741,             0.00027741
                     61,                0.72351,                0.49365,                 0.8474,                0.78409,                0.78609,                0.81123,                0.58526,                0.76541,                0.54466,                0.85456,              0.0002708,              0.0002708,              0.0002708
                     62,                0.72508,                0.50099,                 0.8482,                0.82779,                0.73133,                0.82432,                0.60068,                0.76585,                0.53296,                0.85756,              0.0002642,              0.0002642,              0.0002642
                     63,                0.73347,                0.50998,                0.84969,                0.75947,                0.78416,                0.80032,                0.57032,                0.76619,                0.54714,                 0.8597,              0.0002576,              0.0002576,              0.0002576
                     64,                0.72338,                0.49154,                0.84397,                0.68114,                0.88953,                0.89211,                0.63008,                0.77867,                 0.5484,                0.85667,             0.00025099,             0.00025099,             0.00025099
                     65,                0.73759,                0.50226,                0.84527,                0.76457,                0.78831,                0.82343,                0.57927,                0.76208,                0.55385,                0.85456,             0.00024439,             0.00024439,             0.00024439
                     66,                0.73852,                0.50201,                0.85335,                0.84075,                0.74871,                0.83136,                0.59096,                 0.7644,                0.54142,                0.85379,             0.00023779,             0.00023779,             0.00023779
                     67,                0.74212,                0.49972,                0.85641,                0.72594,                0.88658,                 0.9188,                0.67171,                0.76915,                0.55134,                0.85597,             0.00023118,             0.00023118,             0.00023118
                     68,                0.69756,                0.47914,                0.84517,                0.70761,                0.87791,                 0.9207,                0.66118,                0.76197,                0.53988,                0.85647,             0.00022458,             0.00022458,             0.00022458
                     69,                0.70854,                 0.4829,                0.83954,                0.68489,                0.90667,                0.85802,                0.61412,                0.76665,                0.53355,                0.85847,             0.00021798,             0.00021798,             0.00021798
                     70,                0.72331,                0.49041,                0.84787,                0.77055,                0.78529,                0.82426,                0.59402,                  0.773,                0.54385,                0.85911,             0.00021137,             0.00021137,             0.00021137
                     71,                0.72244,                0.49167,                0.84247,                0.65091,                0.91897,                0.84832,                0.60891,                0.75996,                0.55852,                0.85599,             0.00020477,             0.00020477,             0.00020477
                     72,                0.72671,                0.49153,                0.83882,                0.66178,                0.91695,                0.91485,                0.65548,                0.76092,                0.54333,                0.85505,             0.00019817,             0.00019817,             0.00019817
                     73,                0.71553,                0.48702,                0.84595,                0.84075,                0.76477,                0.85154,                0.59598,                0.78464,                0.54001,                0.86047,             0.00019156,             0.00019156,             0.00019156
                     74,                 0.7143,                0.48064,                0.84311,                0.78268,                0.77811,                0.84839,                 0.6104,                0.78745,                0.55181,                0.85939,             0.00018496,             0.00018496,             0.00018496
                     75,                0.70391,                0.47595,                0.84328,                0.76914,                0.77285,                0.83637,                0.60425,                0.76427,                0.54923,                 0.8569,             0.00017836,             0.00017836,             0.00017836
                     76,                0.69536,                0.46468,                0.84142,                0.63832,                0.92141,                 0.8433,                0.60056,                0.76671,                0.54035,                0.85673,             0.00017175,             0.00017175,             0.00017175
                     77,                0.71675,                0.47722,                0.84426,                0.71269,                0.86708,                0.90559,                0.64016,                 0.7592,                0.52919,                0.85576,             0.00016515,             0.00016515,             0.00016515
                     78,                0.71133,                0.47331,                0.84385,                0.80171,                0.84462,                 0.9158,                0.64333,                0.76095,                0.52745,                0.85718,             0.00015855,             0.00015855,             0.00015855
                     79,                0.70148,                0.47256,                0.83949,                0.79282,                0.85795,                0.92006,                0.66684,                0.75923,                0.52663,                 0.8567,             0.00015194,             0.00015194,             0.00015194
                     80,                0.69244,                0.46644,                0.83226,                0.83582,                0.83688,                0.91614,                0.67867,                0.75375,                0.52417,                0.85579,             0.00014534,             0.00014534,             0.00014534
                     81,                0.67891,                0.45789,                0.83268,                0.83067,                0.85472,                0.91189,                0.66319,                0.77031,                0.53436,                0.85635,             0.00013874,             0.00013874,             0.00013874
                     82,                 0.7061,                0.46749,                0.84345,                0.65547,                0.91792,                0.90892,                0.66046,                0.74784,                0.52681,                0.85442,             0.00013213,             0.00013213,             0.00013213
                     83,                0.69523,                0.46159,                0.83995,                0.81828,                0.77994,                 0.8369,                0.61073,                0.75589,                 0.5278,                0.85764,             0.00012553,             0.00012553,             0.00012553
                     84,                0.68916,                0.46539,                0.84036,                0.81415,                 0.7765,                0.82451,                0.59976,                0.76502,                0.53342,                0.85971,             0.00011893,             0.00011893,             0.00011893
                     85,                0.69096,                0.47027,                0.83999,                0.80391,                0.79057,                0.83996,                0.61007,                0.76492,                0.52579,                0.85909,             0.00011232,             0.00011232,             0.00011232
                     86,                0.68964,                0.46085,                0.83683,                0.74847,                0.82117,                 0.9178,                0.67214,                0.75967,                0.51545,                0.85796,             0.00010572,             0.00010572,             0.00010572
                     87,                0.66709,                0.45081,                0.83327,                0.75312,                0.91689,                0.91774,                0.65656,                0.76916,                0.51891,                0.85892,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                0.66746,                0.44527,                0.84119,                0.81276,                0.84183,                0.91452,                0.66113,                0.75412,                0.51913,                0.85593,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                0.67604,                0.44902,                0.83509,                0.80739,                0.84521,                0.91406,                0.65175,                0.76091,                0.52165,                0.85682,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                0.68594,                0.45858,                0.83948,                0.81068,                0.83845,                0.91591,                0.65427,                0.75967,                0.51997,                0.85725,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                0.69539,                0.48374,                 0.8447,                0.81733,                0.81352,                0.91462,                 0.6336,                0.79537,                0.54664,                0.86486,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.66515,                0.44537,                0.84048,                0.79707,                0.82731,                0.90972,                0.63086,                0.79641,                 0.5747,                0.86559,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                0.67277,                0.45291,                0.83597,                0.77412,                0.84413,                0.91269,                0.63348,                0.79514,                0.56537,                0.86613,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                0.64561,                0.42495,                0.83371,                0.71399,                0.87375,                0.90332,                0.63445,                0.78132,                0.55767,                0.86328,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                0.65016,                0.43108,                0.83168,                0.66408,                0.91397,                0.90924,                0.63576,                0.78587,                0.55652,                0.86473,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                  0.653,                0.43683,                0.83693,                0.76302,                0.79061,                0.83957,                0.59054,                 0.7799,                0.54812,                0.86306,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.63881,                0.42274,                0.82884,                0.72286,                0.80561,                0.90621,                0.63776,                 0.7842,                0.54316,                0.86421,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                0.63041,                0.41853,                0.82921,                0.66785,                0.90492,                0.90709,                0.64532,                0.77975,                0.54414,                0.86409,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.62941,                0.41464,                0.82915,                0.65499,                0.90649,                0.90668,                0.64745,                0.77482,                0.54449,                0.86268,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                0.63294,                0.41946,                0.83863,                0.77562,                0.78034,                0.82593,                0.58859,                0.77455,                0.54269,                0.86284,             1.3273e-05,             1.3273e-05,             1.3273e-05
