                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.80005,                 0.6169,                0.86292,                0.73072,                0.61591,                0.66271,                 0.4628,                0.86416,                0.83872,                 0.9003,             0.00019156,             0.00019156,             0.00019156
                     74,                0.79296,                0.61533,                0.86103,                0.72962,                0.61268,                0.66812,                0.47524,                0.87135,                0.79158,                0.90369,             0.00018496,             0.00018496,             0.00018496
                     75,                0.80518,                0.61573,                0.85895,                0.73434,                0.63683,                0.63234,                0.45345,                0.88097,                0.79891,                0.90496,             0.00017836,             0.00017836,             0.00017836
                     76,                0.78884,                0.60545,                0.85526,                0.73365,                0.63586,                0.62508,                0.44741,                0.85762,                0.78231,                0.90399,             0.00017175,             0.00017175,             0.00017175
                     77,                0.78846,                0.60764,                0.86933,                0.73492,                0.63465,                 0.6211,                0.44652,                0.87232,                0.79859,                0.90273,             0.00016515,             0.00016515,             0.00016515
                     78,                0.78188,                0.59045,                0.85606,                 0.7455,                0.62004,                0.63868,                 0.4595,                0.85685,                0.79143,                0.90137,             0.00015855,             0.00015855,             0.00015855
                     79,                0.79922,                0.60638,                0.86474,                0.74729,                0.62895,                0.63206,                0.45359,                0.86737,                0.80331,                0.90407,             0.00015194,             0.00015194,             0.00015194
                     80,                 0.7552,                0.58521,                 0.8555,                0.75741,                0.62236,                0.61336,                0.44488,                 0.8635,                 0.8029,                0.90358,             0.00014534,             0.00014534,             0.00014534
                     81,                0.77409,                0.58447,                0.85345,                0.75562,                0.61195,                0.62566,                0.45807,                0.84888,                0.79597,                0.90204,             0.00013874,             0.00013874,             0.00013874
                     82,                0.78111,                0.60071,                0.85589,                0.76458,                0.61336,                 0.6298,                0.45913,                0.84889,                0.79039,                0.90256,             0.00013213,             0.00013213,             0.00013213
                     83,                 0.7635,                0.57622,                0.85992,                0.72263,                0.63139,                 0.6816,                0.49244,                 0.8595,                0.80517,                0.90381,             0.00012553,             0.00012553,             0.00012553
                     84,                0.75471,                0.56538,                0.85376,                0.74178,                0.63052,                0.69225,                0.49017,                0.86682,                0.78718,                0.90344,             0.00011893,             0.00011893,             0.00011893
                     85,                0.76917,                0.57701,                0.85284,                0.69983,                0.65524,                0.63853,                0.45112,                0.86713,                0.79734,                0.90339,             0.00011232,             0.00011232,             0.00011232
                     86,                0.76698,                0.57825,                0.85569,                0.66452,                0.66977,                0.62782,                0.44577,                0.87327,                0.79912,                0.90427,             0.00010572,             0.00010572,             0.00010572
